Key,Description,en,ja
SB-1 x32_fullName,Full equip name of: SB-1 x32,SB-1 x32,SB-1 x32
SB-1 x32_description,Item description of: SB-1 x32,A rack of 32 standard un-guided 500lb bombs.,32個の標準的な500ポンド無誘導爆弾。
AGM-126 SideARM II x1_fullName,Full equip name of: AGM-126 SideARM II x1,AGM-126 SideARM II x1,AGM-126 対レーダーミサイル x1
AGM-126 SideARM II x1_description,Item description of: AGM-126 SideARM II x1,Compact short range anti-radiation missile based on the AIM-9x.,AIM-9xをベースとした小型短距離対レーダーミサイル。
AGM-65 x3_fullName,Full equip name of: AGM-65 x3,AGM-65 x3,AGM-65 x3
AGM-65 x3_description,Item description of: AGM-65 x3,"A medium range optically guided ""fire-and-forget"" anti-tank missile.",中距離光学誘導式「撃ちっぱなし可能」対戦車ミサイル x3
Mk-82 Bomb x2_fullName,Full equip name of: Mk-82 Bomb x2,Mk-82 Bomb x2,
Mk-82 Bomb x2_description,Item description of: Mk-82 Bomb x2,Two standard un-guided 500lb bombs.,標準的な500ポンド無誘導爆弾 x2
loadingView_loadingMap,Text in custom map loading view.,Loading map...,マップ読込中…
Mk.82 Bomb x3_fullName,Full equip name of: Mk.82 Bomb x3,Mk.82 Bomb x3,Mk.82 爆弾 x3
Mk.82 Bomb x3_description,Item description of: Mk.82 Bomb x3,Standard un-guided 500lb bombs.,標準的な500ポンド無誘導爆弾 x3
mfdpOpenMenu,Tooltip for button that opens a menu.,Open Menu,メニューを開く
mfdpBLANK,Label for a minimized MFD portal that is empty. Opens the portal menu.,BLANK,
MFDPortalHome_MFDPortalPage_pageName,MFD portal page name,Menu,メニュー
MFDPortalHome_MFDPortalPage_pageLabel,MFD portal page button label,MENU,メニュー
EOTSPortalPage_MFDPortalPage_pageName,MFD portal page name,EO Targeting,
EOTSPortalPage_MFDPortalPage_pageLabel,MFD portal page button label,EOTS,
MapMFDPage_MFDPortalPage_pageName,MFD portal page name,Nav Map,ナビゲーションマップ
MapMFDPage_MFDPortalPage_pageLabel,MFD portal page button label,NAV,ナビ
ObjectivesPage_MFDPortalPage_pageName,MFD portal page name,Objectives,目標
ObjectivesPage_MFDPortalPage_pageLabel,MFD portal page button label,OBJCTV,目標
MFDCommsMenu_MFDPortalPage_pageName,MFD portal page name,Communications,通信
MFDCommsMenu_MFDPortalPage_pageLabel,MFD portal page button label,COMMS,通信
SCamPage_MFDPortalPage_pageName,MFD portal page name,SpectatorCam,
SCamPage_MFDPortalPage_pageLabel,MFD portal page button label,S-CAM,
RWRPage_MFDPortalPage_pageName,MFD portal page name,RWR,レーダー警報装置
RWRPage_MFDPortalPage_pageLabel,MFD portal page button label,RWR,
TacticalSituationDisplay_MFDPortalPage_pageName,MFD portal page name,Tactical Situation Display,戦術表示
TacticalSituationDisplay_MFDPortalPage_pageLabel,MFD portal page button label,TSD,
OptionsPage_MFDPortalPage_pageName,MFD portal page name,Vehicle Options,機体オプション
OptionsPage_MFDPortalPage_pageLabel,MFD portal page button label,OPTS,
F-45A_mfd_altitudeSettings:T5_tooltip,Tooltip for an MFD button.,Back,戻る
F-45A_mfd_altitudeSettings:L3_tooltip,Tooltip for an MFD button.,Min Alt +,最低高度 +
F-45A_mfd_altitudeSettings:L4_tooltip,Tooltip for an MFD button.,Min Alt -,最低高度 -
F-45A_mfd_altitudeSettings:R3_tooltip,Tooltip for an MFD button.,Max Alt +,最大高度 +
F-45A_mfd_altitudeSettings:R4_tooltip,Tooltip for an MFD button.,Max Alt -,最大高度 -
F-45A_mfd_altitudeSettings:L2_tooltip,Tooltip for an MFD button.,Toggle Alt Mode,高度モード切替
StoresManagementPage_MFDPortalPage_pageName,MFD portal page name,Stores Mgmt Sys,
StoresManagementPage_MFDPortalPage_pageLabel,MFD portal page button label,SMS,
s_sms_mode_0,SMS mode button labels,Config,
s_sms_mode_1,SMS mode button labels,Arming,
s_sms_mode_2,SMS mode button labels,Jettison,投棄
s_sms_armed,Armed label for an equip in the SMS config view.,[ ARMED ],
s_sms_disarmed,Disarmed label for an equip in the SMS config view.,DISARMED,
s_sms_jettison,Jettison label for an equip in the SMS config view.,JETTISON,投棄
s_sms_optionToggle,Tooltip prefix for SMS equipment option toggles,Toggle,
s_sms_optionRipple,Ripple button label for SMS equipment option.,Ripple,
s_sms_rippleSingle,Label for ripple setting set to single-fire (no ripple),Single,
s_bdo_open,SMS bay door override in OPEN position,OPEN,
s_bdo_auto,SMS bay door override in AUTO position,AUTO,
RadarDisplay_MFDPortalPage_pageName,MFD portal page name,Radar,レーダー
RadarDisplay_MFDPortalPage_pageLabel,MFD portal page button label,RADAR,レーダー
GameMenuPage_MFDPortalPage_pageName,MFD portal page name,Game Menu,ゲームメニュー
GameMenuPage_MFDPortalPage_pageLabel,MFD portal page button label,GAME,ゲーム
GPSSystem_MFDPortalPage_pageName,MFD portal page name,GPS Targets,GPSターゲット
GPSSystem_MFDPortalPage_pageLabel,MFD portal page button label,GPST,
CAGM-6 Cluster Missile_fullName,Full equip name of: CAGM-6 Cluster Missile,CAGM-6 Cluster Missile,CAGM-6 クラスターミサイル
CAGM-6 Cluster Missile_description,Item description of: CAGM-6 Cluster Missile,"An optically guided ""fire-and-forget"" missile. 
Deploys 6 submunitions that independently seek targets in the field of view.","光学誘導式の「撃ちっぱなし可能」クラスター・ミサイル。
6つの子弾が分散され、それぞれが独立して視野内の目標を見つけることができます。"
eqSublabel_OPTICAL-FF-CLUSTER,HUD sub-label of an equip,OPTICAL FF CLUSTER,
MAD-4 Missile_fullName,Full equip name of: MAD-4 Missile,MAD-4 Missile,MAD-4 Missile
MAD-4 Missile_description,Item description of: MAD-4 Missile,Standard radar-guided missile built for the Mobile Air Defense launcher. It has a range of about 55km (30nm).,移動式防空ランチャー用の標準的なレーダー誘導ミサイル。射程距離は約55km（30海里）。
FLKM-100_fullName,Full equip name of: FLKM-100,FLKM-100,FLKM-100
FLKM-100_description,Item description of: FLKM-100,Dual stage long range radar-guided missile that deploys a field of explosive munitions.,2段式の長距離レーダー誘導ミサイルで、爆発性のある子弾をエリア内に散布することができる。
4200L Fuel Drop Tank_fullName,Full equip name of: 4200L Fuel Drop Tank,4200L Fuel Drop Tank,4200L 増槽
4200L Fuel Drop Tank_description,Item description of: 4200L Fuel Drop Tank,A 4200 liter fuel tank.,4200Lの外部燃料タンク。
tutName_Getting Started,Name of a legacy tutorial objective,Getting Started,始めましょう
tutDesc_Getting Started,Description of a legacy tutorial,Complete the intro tutorial.,入門編のチュートリアルを完了してください
tut:Getting Started:Intro10,A tutorial label,Welcome to the AV-42C,AV-42Cへようこそ！
tut:Getting Started:Intro21,A tutorial label,"First, let's keep the bird from rolling away.","まずは、機体が転がって
行かないようにしましょう。"
tut:Getting Started:Brake Lock2,A tutorial label,Enable Brake Lock,ブレーキロックを有効にします
tut:Getting Started:Startup3,A tutorial label,Now lets move on to the start-up sequence.,"では、スタートアップの
手順に移りましょう。"
tut:Getting Started:Enable battery4,A tutorial label,Enable Battery,メインバッテリーのスイッチをONにします
tut:Getting Started:start up apu5,A tutorial label,Start APU,"APU（補助電源＆エアー）をONにします。
APUはエンジン始動のための動力源です。
両エンジンが安定運転するまで必要です。"
tut:Getting Started:wait spool apu6,A tutorial label,Let the APU spool up a bit.,"APUスイッチの下のメーターを見て
APUの回転が上がるのを確認します"
tut:Getting Started:StartLeftEngine7,A tutorial label,Start Left Engine,左エンジンを始動します
tut:Getting Started:StartRightEngine8,A tutorial label,Start Right Engine,右エンジンを始動します
tut:Getting Started:WaitSpool9,A tutorial label,Wait for the engines to spool up.,"両エンジンの回転が安定するのを待ちます
一旦上がってから少し下がって安定します"
tut:Getting Started:NoNeedAPU10,A tutorial label,The engines are now supplying power.  We can turn off the APU.,"エンジンから電力が
供給されるようになりましたので、
APUの電源を切ることができます。"
tut:Getting Started:TurnOffAPU11,A tutorial label,Turn off APU.,"APUスイッチをOFFにして
APUを停止させます"
tut:Getting Started:EnableHUD12,A tutorial label,Turn on the HUD,"HUD（ヘッドアップディスプレイ）の
スイッチをONにします"
tut:Getting Started:HUDInfo13,A tutorial label,"The HUD (Heads-Up Display) shows you attitude, altitude, velocity, targeting reticles, and other important flight data at a glance.","HUD（ヘッドアップディスプレイ）
機体の姿勢、高度、速度、
ターゲティングレティクルなどの
重要なフライトデータが
一目でわかるようになっています。"
tut:Getting Started:EnableMFD114,A tutorial label,Turn on the MFD 1,MFD1 の電源スイッチをONにします
tut:Getting Started:EnableMFD215,A tutorial label,Turn on the MFD 2,MFD2 の電源スイッチをONにします
tut:Getting Started:EnableMFD316,A tutorial label,Turn on the MFD 3,MFD3 の電源スイッチをONにします
tut:Getting Started:MFD info17,A tutorial label,The MFDs (Multi-Function Displays) give you access to,MFD（マルチファンクションディスプレイ）
tut:Getting Started:MFD info 218,A tutorial label,"aircraft features such as weapon configuration, navigation maps,",武器の設定、ナビマップ、センサーなどの
tut:Getting Started:MFD info 319,A tutorial label,"sensors, etc.  You can access these features by pressing the corresponding buttons around the edge of the monitor.","各種機能にアクセスできます。

これらの機能にアクセスするには、
モニターの上下左右に並んでいる
対応するボタンを押してください。"
tut:Getting Started:ReadyToFly20,A tutorial label,The vehicle is now ready to fly.  Up next: Basic Flight,"これでフライトの準備が整いました。
次のチュートリアルに進んでください。
フライトの基本（地上走行・離陸・着陸）"
tutName_Basic Flight,Name of a legacy tutorial objective,Basic Flight,フライトの基本
tutDesc_Basic Flight,Description of a legacy tutorial,Complete the tutorial.,チュートリアルを完了してください
tut:Basic Flight:Intro10,A tutorial label,Welcome to the Basic Flight tutorial.,"フライトの基本
チュートリアルにようこそ！"
tut:Basic Flight:Intro21,A tutorial label,We'll skip the start-up procedure now.,"今回スタートアップの
手順は省略しています"
tut:Basic Flight:Intro32,A tutorial label,"The main flight controls are the joystick and throttle.  You can grip them by holding the grip buttons, or toggle lock your hands to them by tapping the grip buttons.","機体の操縦は右手のジョイスティックと
左手のスロットルで行います。

グリップボタンを握り続けた場合は、
そのまま離すと手を離します。

それとは別に、グリップボタンをポンと
一度押すだけで握り続けます。
この場合、もう一度グリップボタンをポンと
一度押すことで手を離します。"
tut:Basic Flight:StartTaxi3,A tutorial label,Let's start with taxiing.,地上走行（タキシング）を開始ししましょう
tut:Basic Flight:GrabStick4,A tutorial label,Grab Joystick,ジョイスティックを握ってください
tut:Basic Flight:GrabThrottle5,A tutorial label,Grab Throttle,スロットルを握ってください
tut:Basic Flight:SteerInfo6,A tutorial label,"To steer the front wheel, you will have to twist the joystick on the vertical axis.","左右に曲がるときは
ジョイスティックをひねってください。

ラダーを付けている場合は
足で操作してください"
tut:Basic Flight:TiltInfo7,A tutorial label,"In order to get moving, we need to tilt the engines to the forward position.","現在エンジンは上を向いています。
動き出すためには、エンジンを
前方に傾ける必要があります。"
tut:Basic Flight:HoldBrakes8,A tutorial label,Hold the throttle trigger to lock the brakes,"スロットルのトリガーを
引いてブレーキを掛けてください。

ラダーを使っている場合は
フットブレーキをかけてください。"
tut:Basic Flight:StartTilt9,A tutorial label,Then press and hold up on the throttle thumb control to tilt the engines forward.,"スロットルの親指コントロールの
前方を押したままにして
エンジンを前に傾けます。"
tut:Basic Flight:StartRoll10,A tutorial label,"If you release the brakes and slightly lift the throttle lever, you will start to roll.","ブレーキを離してスロットルレバーを
少し上げると動き始めます。"
tut:Basic Flight:ControlSpeed11,A tutorial label,Apply small amounts of throttle or brakes to control your speed.,"スロットルとブレーキで
スピードをコントロールしましょう。"
tut:Basic Flight:DriveToRamp12,A tutorial label,Drive over here!,ここまで来てください
tut:Basic Flight:DriveToRamp213,A tutorial label,Drive over here!,ここまで来てください
tut:Basic Flight:Fullstop14,A tutorial label,Full stop!  Throttle down and hold the throttle brake trigger.,"完全に停止してください！
スロットルを下げて
ブレーキをかけてください。"
tut:Basic Flight:PrepareTakeoff15,A tutorial label,Let's prepare for a conventional take-off.,離陸の準備を行います
tut:Basic Flight:SetBrakeLock16,A tutorial label,Set the brake lock so you can free up your hands.,"ブレーキロックをかけてください。
これで手が自由になります。"
tut:Basic Flight:Set flaps.17,A tutorial label,Set flaps to setting 1.,フラップを１にしてください。
tut:Basic Flight:SetAssists18,A tutorial label,Make sure all flight assists are enabled,"すべてのフライトアシストが有効に
なっていることを確認してください。"
tut:Basic Flight:EnsureTilt19,A tutorial label,Check that the engines are tilted all the way forward.,"エンジンが前傾している
ことを確認してください。"
tut:Basic Flight:GrabThrottle220,A tutorial label,Now grab the throttle and hold the brakes...,"ブレーキをかけてください。
スロットルを握りトリガーを引く。
ラダーの場合はフットブレーキ。"
tut:Basic Flight:Unlock Brakes21,A tutorial label,...so you can disable brake lock.,ブレーキロックを解除してください。
tut:Basic Flight:TurnOntoRunway22,A tutorial label,Now turn left onto runway 20,"ランウェイ20に入り左に曲がって、
機首を前方にまっすぐに揃えてください。"
tut:Basic Flight:BeforeTakeoff23,A tutorial label,"Now.. to take off, raise the throttle to full and steer to keep aligned with the runway.","離陸します！
スロットルをフルに上げて、
滑走路をまっすぐ走ってください。"
tut:Basic Flight:WaitSpeed24,A tutorial label,Speed up to [80]! Straight down the runway!,"[80]に加速！
滑走路を直進！"
tut:Basic Flight:Rotate!25,A tutorial label,Now carefully rotate the joystick back to pull the nose up!,"慎重にジョイスティックを
後方（手前）に傾けて、
機首を上に引き上げてください。"
tut:Basic Flight:Liftoff!26,A tutorial label,"Great! You're in the air. ","いい感じです！
離陸しました！"
tut:Basic Flight:RaiseGear27,A tutorial label,Raise the landing gear.,ランディングギアを上げてください。
tut:Basic Flight:RaiseFlaps28,A tutorial label,Set flaps to 0 (retracted),フラップを0に上げてください。
tut:Basic Flight:GainAltitude29,A tutorial label,Now gently steer your nose to about 20 degrees and keep climbing to {1000} ASL.,"機首を約20度までゆっくり合わせて、
{1000}ASLまで上昇し続けてください。"
tut:Basic Flight:FlightControls30,A tutorial label,Let's practice basic flight controls.,基本的な操縦を練習してみましょう
tut:Basic Flight:Roll31,A tutorial label,Rotate the joystick left or right to roll towards your target,"ジョイスティックを左右に傾けることで、
ターゲットに向かってロールします。"
tut:Basic Flight:Pitch32,A tutorial label,Rotate the joystick forward or back to pitch your nose towards it.,"ジョイスティックを前方に傾けると機首は下に、
後方（手前）に傾けると機首は上に上がります。
上下の変化のことをピッチと呼びます。"
tut:Basic Flight:VelVector33,A tutorial label,"This is your velocity vector, showing the direction you are moving.","これは速度ベクトルで、
機体の移動方向を示します。"
tut:Basic Flight:VelVector234,A tutorial label,You want to steer velocity vector towards where you want to go.,"速度ベクトルを目的地に合わせるように
操縦することで目的地に向かって飛行します。"
tut:Basic Flight:FlyToTarget135,A tutorial label,Fly over here!,ここまで来てください！
tut:Basic Flight:FlyToTarget236,A tutorial label,Fly over here!,ここまで来てください！
tut:Basic Flight:Great Flying37,A tutorial label,Great flying! Now let's try to land at the airbase.,"素晴らしい操縦です。
今度は飛行場に着陸してみましょう。"
tut:Basic Flight:StartLanding38,A tutorial label,Start your landing here at about [150],"着陸はここから開始します。
速度[150]に下げます。
スロットルを下げトリガーを引くと
スピードブレーキがかかります。"
tut:Basic Flight:Landing239,A tutorial label,Line up with the runway and bring speed down to about [100],"滑走路にまっすぐ向かうようにして、
速度を[100]まで下げてください。"
tut:Basic Flight:Landing340,A tutorial label,"Flaps down, gear down.  Speed down to [80]","フラップを2まで下げて、
ランディングギアも下げてください。
速度を[80]まで下げてください。"
tut:Basic Flight:Landing441,A tutorial label,Maintain speed and glide slope.  Keep the vector on target!,"速度とグライドスロープ（降下率）を維持します。
目標に向かってまっすぐ入るよう維持してください！"
tut:Basic Flight:PrepareToFlare42,A tutorial label,Prepare to flare nose up for a smooth landing,"スムーズな着陸のため、着地寸前に
機首を少し上げてふわっと着地します。
これをフレアと呼びます。"
tut:Basic Flight:Flare43,A tutorial label," ",
tut:Basic Flight:Touchdown44,A tutorial label,Touch down! Bring your nose down.,"タッチダウン！
着陸しました！
ゆっくりと機首を下げます。"
tut:Basic Flight:Bring to stop.45,A tutorial label,"Steer down the runway, throttle down and carefully apply brakes.","前輪を滑走路につけます。
スピードブレーキとフットブレーキを
慎重にかけて減速。
急激なブレーキは機体を暴れさせるので
注意してください。"
tut:Basic Flight:Done46,A tutorial label,Congratulations!  This concludes the basic flight tutorial.,"おめでとう！
これでフライトの基本
チュートリアルは終了です。
次のチュートリアルに進んでください。"
AIM-120D Advanced Radar Missile x2_fullName,Full equip name of: AIM-120D Advanced Radar Missile x2,AIM-120D Advanced Radar Missile x2,AIM-120D 高性能レーダーミサイル x2
AIM-120D Advanced Radar Missile x2_description,Item description of: AIM-120D Advanced Radar Missile x2,"Two internally mounted, radar guided, medium range air to air missiles.
",レーダー誘導式中距離空対空ミサイル x2、内部マウントに搭載。
AGM-145 Ballista x2_fullName,Full equip name of: AGM-145 Ballista x2,AGM-145 Ballista x2,AGM-145 バリスタ x2
AGM-145 Ballista x2_description,Item description of: AGM-145 Ballista x2,"Small anti-tank missiles with advanced optics, ""fire and forget"", and smart self-targeting technology. Can be fired without line of sight to the designated target point, and will acquire hostile targets automatically.",高度な光学系、「撃ちっぱなし可能」、インテリジェント・セルフターゲティング技術を搭載した小型対戦車ミサイル x2。 ターゲットポイントを直接見ずに発射でき、自動的に敵を狙うことができます。
eqSublabel_LASER-BOMB-INTERNAL,HUD sub-label of an equip,LASER BOMB INTERNAL,
Mk-82 Bomb x1_fullName,Full equip name of: Mk-82 Bomb x1,Mk-82 Bomb x1,
Mk-82 Bomb x1_description,Item description of: Mk-82 Bomb x1,Standard un-guided 500lb bomb.,標準的な無誘導の500ポンド爆弾。
AIM-120 Advanced Radar Missile x2_fullName,Full equip name of: AIM-120 Advanced Radar Missile x2,AIM-120 Advanced Radar Missile x2,AIM-120 高性能レーダーミサイル x2
AIM-120 Advanced Radar Missile x2_description,Item description of: AIM-120 Advanced Radar Missile x2,A rack of two radar guided medium range air to air missiles.,レーダー誘導式中距離空対空ミサイル x2。
tutName_Vertical Flight,Name of a legacy tutorial objective,Vertical Flight,垂直離着陸
tutDesc_Vertical Flight,Description of a legacy tutorial,Complete the Vertical Flight tutorial.,垂直飛行のチュートリアルを完了してください
tut:Vertical Flight:Intro10,A tutorial label,Welcome to the Vertical Flight autopilot training.,"垂直飛行オートパイロット
訓練にようこそ！"
tut:Vertical Flight:Intro21,A tutorial label,"Vertical flight can be tricky, but by using the AP, you will be a master in no time.","垂直飛行はトリッキーですが、
オートパイロットを使うことで
あっという間にマスターになります。"
tut:Vertical Flight:CheckTilt2,A tutorial label,"First, make sure the engines are tilted at 90 degrees.","まず、エンジンが90度の垂直に
なっていることを確認します。"
tut:Vertical Flight:CheckTilt3,A tutorial label,"First, make sure the engines are tilted at 90 degrees.","まず、エンジンが90度の垂直に
なっていることを確認します。"
tut:Vertical Flight:EnableHVR4,A tutorial label,Enable HVR mode.,HVR（ホバー）モードにしてください。
tut:Vertical Flight:EnableALT5,A tutorial label,Enable ALT mode.,ALT（高度維持）モードにしてください。
tut:Vertical Flight:HVRInfo6,A tutorial label,The HVR mode will assist you in staying upright and keeping your horizontal velocity under control.,"HVRモードは、ホバリング中の
制御のもとで水平方向の速度を
維持するように支援します。"
tut:Vertical Flight:ALTInfo7,A tutorial label,The ALT mode will take control of the engines and convert inputs into climb or descent rates.,"ALTモードは、エンジンを制御し、
スロットル操作を上昇率または
下降率に変換します。"
tut:Vertical Flight:ALTInfo28,A tutorial label,Keeping your throttle centered will hold a hover,"スロットルをセンターにしておけば、
ホバーをキープできます。"
tut:Vertical Flight:ALTInfo39,A tutorial label,Raise or lower the throttle to climb or descend,"スロットルを上げたり下げたりして
高度を上げたり下げたりします。"
tut:Vertical Flight:AltThrottleInfo10,A tutorial label,Altitude Control Status,高度制御の状態
tut:Vertical Flight:DontTilt11,A tutorial label,Keep your left thumb away from the tilt control.,"左手の親指をチルトコントロールから
離しておいてください。"
tut:Vertical Flight:DontTilt212,A tutorial label,Any engine tilt less than 90 will disengage HVR AP,"エンジンの傾きが90度垂直以下になると
HVR AP（ホバーのオートパイロット）が
解除されます。"
tut:Vertical Flight:TakeOffNow13,A tutorial label,Lift throttle now.  Climb to {50} altitude.,"スロットルを上げて、
高度{50}まで上昇してください。"
tut:Vertical Flight:HoldAltitude14,A tutorial label,Now set your throttle lever to the midpoint to hover.,"今度はスロットルを中点にセットして
ホバリングしてください。"
tut:Vertical Flight:HoverInfo15,A tutorial label,You should now be in a stable hover,これで安定したホバー状態になりました。
tut:Vertical Flight:HoverInfo216,A tutorial label,You can make adjustments to the throttle to climb or descend as needed.,"必要に応じてスロットルを調整して
登ったり降りたりすることができます。"
tut:Vertical Flight:LatMovementInfo17,A tutorial label,Now you can use the joystick to move around,"これでジョイスティックで
周りを移動できるようになりました。"
tut:Vertical Flight:LatMovementInfo218,A tutorial label,The HVR autopilot will handle attitude control,"姿勢制御はHVRオートパイロットが
行います。"
tut:Vertical Flight:LatMovementInfo319,A tutorial label,You just have to tilt the joystick in the direction you want to go,"ジョイスティックを行きたい方向に
傾けるだけでそちらに移動します。"
tut:Vertical Flight:LatMovementInfo420,A tutorial label,You can also twist the joystick to yaw,"ジョイスティックをひねって
ヨーする事もできます。
（ラダーペダルがある場合はそちらで）"
tut:Vertical Flight:LatMovementHUD21,A tutorial label,Horizontal Velocity Indicator,水平速度表示機
tut:Vertical Flight:StudyMovement22,A tutorial label,"As you move around, study how the AP handles the vehicle","移動しながら、オートパイロットが
どのように機体を制御するかを
勉強していきましょう。"
tut:Vertical Flight:StartTargets23,A tutorial label,Let's try flying into some targets.,"いくつかのターゲットに向けて
飛んでみましょう"
tut:Vertical Flight:HoverWaypoint024,A tutorial label,Hover here!,ここまでホバー飛行してください！
tut:Vertical Flight:HoverWaypoint125,A tutorial label,Hover here!,ここまでホバー飛行してください！
tut:Vertical Flight:HoverWaypoint226,A tutorial label,Hover here!,ここまでホバー飛行してください！
tut:Vertical Flight:HoverWaypoint327,A tutorial label,Hover here!,ここまでホバー飛行してください！
tut:Vertical Flight:GoodJob28,A tutorial label,Great! Now lets try to land back on the helipad.,"いい感じです！
今度はヘリポートに戻って
垂直着陸してみましょう。"
tut:Vertical Flight:StopBeforeLand29,A tutorial label,"Bring yourself to a stop by centering the throttle, and steering the stick in the opposite direction as your horizontal velocity indicator.","スロットルを中心にして、水平方向の
速度を示すようにスティックを
反対方向に操舵することによって、
自分自身を停止させます。"
tut:Vertical Flight:FaceLanding30,A tutorial label,Rotate to face towards the helipads.,"ヘリパッドの方を向いて
回転してください。"
tut:Vertical Flight:HeadTowardPad31,A tutorial label,Begin to move towards the pad.  Adjust your altitude control and steer so your velocity vector is pointed just above the pad.,"ヘリパッドに向かって移動を開始します。
高度コントロールを調整し、
速度ベクトルがパッドの真上を指すように
操縦してください。"
tut:Vertical Flight:AlmostLand32,A tutorial label,Slow your forward speed and rate of descent.,"前進速度と降下速度を
うまく調整してください。"
tut:Vertical Flight:Land33,A tutorial label,Adjust rate of descent to bring it down gently.,"緩やかに下りるように
降下速度を調整してください。"
tut:Vertical Flight:Touchdown34,A tutorial label,Touch down!  Throttle down and enable brake locks.,"タッチダウン！
スロットルを下げて、
ブレーキロックをかけてください。"
tut:Vertical Flight:Brake Locks35,A tutorial label,Enable brake lock.,ブレーキロックON
tut:Vertical Flight:Congrats36,A tutorial label,Congratulations!  Next time: Manual vertical flight and transitioning.,"おめでとう！
次の機会に、マニュアル垂直飛行に
移行してやってみましょう。"
AV-42C_description,Short description of playable vehicle AV-42C,"""Kestrel"" Multi-role VTOL aircraft. Tilting jet nozzles give it the ability to take off and land vertically or horizontally. Large cargo bay and multiple weapon mounts allow for both transport and attack missions.",ケストレル は多目的垂直離着陸機です。 ティルトエンジンノズルにより、垂直方向に離着陸したり、水平方向に飛んだりすることができます。 大型の貨物倉と複数の武器マウントにより、輸送と攻撃の両方の任務を遂行することができます。
F/A-26B_description,Short description of playable vehicle F/A-26B,"""Wasp"" Carrier based air-superiority fighter that can also be configured for ground attack roles.",スズメバチ は艦載型の制空戦闘機であり、地上攻撃の役割を持つ構成も可能です。
F-45A_description,Short description of playable vehicle F-45A,"""Ghost"" Stealthy, single-engine, VTOL/STOVL capable aircraft with four internal bays. Optional external hardpoints can be used to increase carrying capacity when stealth is not needed.",ゴースト は単発の垂直/短距離離着陸 ステルス戦闘機で、4つの内部弾倉を備えています。 ステルス性能を必要としない場合は、オプションの外部マウントを使用して武器の積載量を増やすことができます。
campaign_av42cTheIsland_name,Name of a campaign.,The Island,島「The Island」
campaign_av42cTheIsland_description,Description of a campaign.,The Island campaign.,島「The Island」キャンペーン
av42cTheIsland:01_preparations_name,Name of a mission.,Preparations,Preparations（準備）
av42cTheIsland:01_preparations_description,Description of a mission.,Help make preparations to defend the island. Transport personnel to coastal SAM site.,"島を守る準備のため、沿岸の
SAMサイトに兵員を輸送せよ"
AV-42C:av42cTheIsland:01_preparations:obj_0:name,A mission objective name,Pick Up,兵員を乗せる
AV-42C:av42cTheIsland:01_preparations:obj_0:info,Mission objective info.,Let the soldiers into your passenger bay.,乗員室のドアを開けて（右側のDOORSスイッチ）兵員を乗せてください。足元が暗い場合は乗員室のライト（右上のBAYスイッチ）を点けてください。
AV-42C:av42cTheIsland:01_preparations:obj_1:name,A mission objective name,Drop Off,兵員を降ろす
AV-42C:av42cTheIsland:01_preparations:obj_1:info,Mission objective info.,Drop the soldiers off at the east bay SAM site.,東のSAMサイトで兵員を降ろしてください。
AV-42C:av42cTheIsland:01_preparations:obj_2:name,A mission objective name,Join Fighters,戦闘機隊と合流
AV-42C:av42cTheIsland:01_preparations:obj_2:info,Mission objective info.,Join up with the fighter escort wing.,護衛の戦闘機部隊との合流地点に向かってください。
AV-42C:av42cTheIsland:01_preparations:obj_4:name,A mission objective name,Investigate,捜索
AV-42C:av42cTheIsland:01_preparations:obj_4:info,Mission objective info.,Investigate the AV-42 crash site.,味方のAV-42が墜落した地点に向かい、生存者を探してください。
AV-42C:av42cTheIsland:01_preparations:obj_5:name,A mission objective name,Pick-up Survivors,生存者の救出
AV-42C:av42cTheIsland:01_preparations:obj_5:info,Mission objective info.,Pick up the survivors from the crash site.,墜落現場から生存者を救出してください。近くに着陸し、ドアを開けて乗せてください。
AV-42C:av42cTheIsland:01_preparations:obj_6:name,A mission objective name,Deliver Survivors,生存者の搬送
AV-42C:av42cTheIsland:01_preparations:obj_6:info,Mission objective info.,Deliver the survivors to the hospital.,生存者の中には負傷者もいます。病院に搬送してください。病院の屋上のヘリパッドに着陸し、ドアを開いて降ろしてください。
AV-42C:av42cTheIsland:01_preparations:obj_7:name,A mission objective name,RTB,
AV-42C:av42cTheIsland:01_preparations:obj_7:info,Mission objective info.,Return to and land at the airbase.,任務完了です。航空基地に戻って着陸してください。
AV-42C:av42cTheIsland:01_preparations:obj_8:name,A mission objective name,Destroy Drones,敵無人機を撃破
AV-42C:av42cTheIsland:01_preparations:obj_8:info,Mission objective info.,Allow the fighters to clear out the hostile drones.,戦闘機隊に、敵の無人機を排除させてください。
av42cTheIsland:02_minesweeper_name,Name of a mission.,Minesweeper,Minesweeper（掃海）
av42cTheIsland:02_minesweeper_description,Description of a mission.,Destroy the drone ships laying mines on supply routes.,"敵の無人艦隊がこちらの海上補給路に
沿って機雷を敷設しようとしている
敵の無人機雷艇を破壊せよ"
AV-42C:av42cTheIsland:02_minesweeper:obj_0:name,A mission objective name,Join fighters,戦闘機隊と合流
AV-42C:av42cTheIsland:02_minesweeper:obj_0:info,Mission objective info.,Meet up with Victor1 at the waypoint.,ウェイポイントに向かい、戦闘機隊「Victor1」と合流してください。
AV-42C:av42cTheIsland:02_minesweeper:obj_1:name,A mission objective name,Fly to AO,作戦エリアへ
